dep,date_de_passage,sursaut_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f
1,2020-02-24,0,0,357,0,0,0,202,155,0,0,,,,
1,2020-02-24,1,0,31,0,,,,,,,,,,
1,2020-02-24,2,0,42,0,,,,,,,,,,
1,2020-02-24,3,0,155,0,,,,,,,,,,
1,2020-02-24,4,0,61,0,,,,,,,,,,
1,2020-02-24,5,0,28,0,,,,,,,,,,
1,2020-02-24,6,0,40,0,,,,,,,,,,
1,2020-02-25,0,0,310,0,0,0,177,133,0,0,,,,
1,2020-02-25,1,0,34,0,,,,,,,,,,
1,2020-02-25,2,0,36,0,,,,,,,,,,
1,2020-02-25,3,0,117,0,,,,,,,,,,
1,2020-02-25,4,0,53,0,,,,,,,,,,
1,2020-02-25,5,0,29,0,,,,,,,,,,
1,2020-02-25,6,0,41,0,,,,,,,,,,
1,2020-02-26,0,0,366,0,0,0,193,173,0,0,,,,
1,2020-02-26,1,0,44,0,,,,,,,,,,
1,2020-02-26,2,0,35,0,,,,,,,,,,
1,2020-02-26,3,0,125,0,,,,,,,,,,
1,2020-02-26,4,0,67,0,,,,,,,,,,
1,2020-02-26,5,0,36,0,,,,,,,,,,
1,2020-02-26,6,0,59,0,,,,,,,,,,
1,2020-02-27,0,0,321,0,0,0,178,143,0,0,,,,
1,2020-02-27,1,0,48,0,,,,,,,,,,
1,2020-02-27,2,0,29,0,,,,,,,,,,
1,2020-02-27,3,0,112,0,,,,,,,,,,
1,2020-02-27,4,0,70,0,,,,,,,,,,
1,2020-02-27,5,0,21,0,,,,,,,,,,
1,2020-02-27,6,0,41,0,,,,,,,,,,
1,2020-02-28,0,0,339,0,0,0,166,173,0,0,,,,
1,2020-02-28,1,0,38,0,,,,,,,,,,
1,2020-02-28,2,0,53,0,,,,,,,,,,
1,2020-02-28,3,0,104,0,,,,,,,,,,
1,2020-02-28,4,0,65,0,,,,,,,,,,
1,2020-02-28,5,0,29,0,,,,,,,,,,
1,2020-02-28,6,0,50,0,,,,,,,,,,
1,2020-02-29,0,0,283,0,0,0,145,138,0,0,,,,
1,2020-02-29,1,0,26,0,,,,,,,,,,
1,2020-02-29,2,0,26,0,,,,,,,,,,
1,2020-02-29,3,0,111,0,,,,,,,,,,
1,2020-02-29,4,0,56,0,,,,,,,,,,
1,2020-02-29,5,0,24,0,,,,,,,,,,
1,2020-02-29,6,0,40,0,,,,,,,,,,
1,2020-03-01,0,0,229,0,0,0,120,109,0,0,,,,
1,2020-03-01,1,0,14,0,,,,,,,,,,
1,2020-03-01,2,0,17,0,,,,,,,,,,
1,2020-03-01,3,0,103,0,,,,,,,,,,
1,2020-03-01,4,0,46,0,,,,,,,,,,
1,2020-03-01,5,0,20,0,,,,,,,,,,
1,2020-03-01,6,0,29,0,,,,,,,,,,
1,2020-03-02,0,0,278,0,0,0,130,148,0,0,,,,
1,2020-03-02,1,0,25,0,,,,,,,,,,
1,2020-03-02,2,0,21,0,,,,,,,,,,
1,2020-03-02,3,0,114,0,,,,,,,,,,
1,2020-03-02,4,0,50,0,,,,,,,,,,
1,2020-03-02,5,0,24,0,,,,,,,,,,
1,2020-03-02,6,0,44,0,,,,,,,,,,
1,2020-03-03,0,0,300,0,0,0,138,162,0,0,,,,
1,2020-03-03,1,0,28,0,,,,,,,,,,
1,2020-03-03,2,0,31,0,,,,,,,,,,
1,2020-03-03,3,0,121,0,,,,,,,,,,
1,2020-03-03,4,0,64,0,,,,,,,,,,
1,2020-03-03,5,0,20,0,,,,,,,,,,
1,2020-03-03,6,0,36,0,,,,,,,,,,
1,2020-03-04,0,0,278,0,0,0,148,130,0,0,,,,
1,2020-03-04,1,0,20,0,,,,,,,,,,
1,2020-03-04,2,0,21,0,,,,,,,,,,
1,2020-03-04,3,0,105,0,,,,,,,,,,
1,2020-03-04,4,0,65,0,,,,,,,,,,
1,2020-03-04,5,0,29,0,,,,,,,,,,
1,2020-03-04,6,0,38,0,,,,,,,,,,
1,2020-03-05,0,0,263,0,0,0,117,146,0,0,,,,
1,2020-03-05,1,0,31,0,,,,,,,,,,
1,2020-03-05,2,0,21,0,,,,,,,,,,
1,2020-03-05,3,0,90,0,,,,,,,,,,
1,2020-03-05,4,0,46,0,,,,,,,,,,
1,2020-03-05,5,0,27,0,,,,,,,,,,
1,2020-03-05,6,0,48,0,,,,,,,,,,
1,2020-03-06,0,0,270,0,0,0,139,131,0,0,,,,
1,2020-03-06,1,0,25,0,,,,,,,,,,
1,2020-03-06,2,0,24,0,,,,,,,,,,
1,2020-03-06,3,0,104,0,,,,,,,,,,
1,2020-03-06,4,0,48,0,,,,,,,,,,
1,2020-03-06,5,0,23,0,,,,,,,,,,
1,2020-03-06,6,0,46,0,,,,,,,,,,
1,2020-03-07,0,0,292,0,0,0,150,142,0,0,,,,
1,2020-03-07,1,0,29,0,,,,,,,,,,
1,2020-03-07,2,0,19,0,,,,,,,,,,
1,2020-03-07,3,0,111,0,,,,,,,,,,
1,2020-03-07,4,0,56,0,,,,,,,,,,
1,2020-03-07,5,0,34,0,,,,,,,,,,
1,2020-03-07,6,0,43,0,,,,,,,,,,
1,2020-03-08,0,0,248,0,0,0,140,107,0,0,,,,
1,2020-03-08,1,0,22,0,,,,,,,,,,
1,2020-03-08,2,0,34,0,,,,,,,,,,
1,2020-03-08,3,0,106,0,,,,,,,,,,
1,2020-03-08,4,0,42,0,,,,,,,,,,
1,2020-03-08,5,0,15,0,,,,,,,,,,
1,2020-03-08,6,0,29,0,,,,,,,,,,
1,2020-03-09,0,6,335,0,1,5,187,148,0,0,,,,
1,2020-03-09,1,0,33,0,,,,,,,,,,
1,2020-03-09,2,0,34,0,,,,,,,,,,
1,2020-03-09,3,2,134,0,,,,,,,,,,
1,2020-03-09,4,3,58,0,,,,,,,,,,
1,2020-03-09,5,0,36,0,,,,,,,,,,
1,2020-03-09,6,1,40,0,,,,,,,,,,
1,2020-03-10,0,0,250,0,0,0,138,112,0,0,,,,
1,2020-03-10,1,0,14,0,,,,,,,,,,
1,2020-03-10,2,0,24,0,,,,,,,,,,
1,2020-03-10,3,0,99,0,,,,,,,,,,
1,2020-03-10,4,0,51,0,,,,,,,,,,
1,2020-03-10,5,0,23,0,,,,,,,,,,
1,2020-03-10,6,0,39,0,,,,,,,,,,
1,2020-03-11,0,1,299,1,0,1,161,138,0,1,,,,
1,2020-03-11,1,0,19,0,,,,,,,,,,
1,2020-03-11,2,0,32,0,,,,,,,,,,
1,2020-03-11,3,1,114,1,,,,,,,,,,
1,2020-03-11,4,0,66,0,,,,,,,,,,
1,2020-03-11,5,0,27,0,,,,,,,,,,
1,2020-03-11,6,0,41,0,,,,,,,,,,
1,2020-03-12,0,5,272,1,1,4,157,115,0,1,,,,
1,2020-03-12,1,0,20,0,,,,,,,,,,
1,2020-03-12,2,0,45,0,,,,,,,,,,
1,2020-03-12,3,2,116,1,,,,,,,,,,
1,2020-03-12,4,2,49,0,,,,,,,,,,
1,2020-03-12,5,0,21,0,,,,,,,,,,
1,2020-03-12,6,1,21,0,,,,,,,,,,
1,2020-03-13,0,6,268,3,3,3,149,119,3,0,,,,
1,2020-03-13,1,1,25,0,,,,,,,,,,
1,2020-03-13,2,0,21,0,,,,,,,,,,
1,2020-03-13,3,1,96,0,,,,,,,,,,
1,2020-03-13,4,2,59,2,,,,,,,,,,
1,2020-03-13,5,0,30,0,,,,,,,,,,
1,2020-03-13,6,2,37,1,,,,,,,,,,
1,2020-03-14,0,7,240,3,3,4,138,102,2,1,,,,
1,2020-03-14,1,0,11,0,,,,,,,,,,
1,2020-03-14,2,0,34,0,,,,,,,,,,
1,2020-03-14,3,4,97,1,,,,,,,,,,
1,2020-03-14,4,1,50,0,,,,,,,,,,
1,2020-03-14,5,1,17,1,,,,,,,,,,
1,2020-03-14,6,1,31,1,,,,,,,,,,
1,2020-03-15,0,4,235,1,2,2,125,110,1,0,,,,
1,2020-03-15,1,0,24,0,,,,,,,,,,
1,2020-03-15,2,0,13,0,,,,,,,,,,
1,2020-03-15,3,1,97,0,,,,,,,,,,
1,2020-03-15,4,0,51,0,,,,,,,,,,
1,2020-03-15,5,1,20,0,,,,,,,,,,
1,2020-03-15,6,2,30,1,,,,,,,,,,
1,2020-03-16,0,2,206,0,1,1,114,92,0,0,,,,
1,2020-03-16,1,0,16,0,,,,,,,,,,
1,2020-03-16,2,0,20,0,,,,,,,,,,
1,2020-03-16,3,1,73,0,,,,,,,,,,
1,2020-03-16,4,1,48,0,,,,,,,,,,
1,2020-03-16,5,0,21,0,,,,,,,,,,
1,2020-03-16,6,0,28,0,,,,,,,,,,
1,2020-03-17,0,6,170,3,4,2,86,84,2,1,,,,
1,2020-03-17,1,0,20,0,,,,,,,,,,
1,2020-03-17,2,0,16,0,,,,,,,,,,
1,2020-03-17,3,1,66,0,,,,,,,,,,
1,2020-03-17,4,5,33,3,,,,,,,,,,
1,2020-03-17,5,0,10,0,,,,,,,,,,
1,2020-03-17,6,0,25,0,,,,,,,,,,
1,2020-03-18,0,24,208,3,8,16,104,104,2,1,,,,
